,mock_name,data_name,category,question
0,American Water,American Water,,1. The utilities industry is highly regulated. How do you stay on top of policy changes and trends related to our business?
1,American Water,American Water,,"2. Our industry is highly competitive. In your opinion, what are we doing right at American Water? What could we be doing better?"
2,American Water,American Water,,"3. Have you personally used the services of American Water? If so, what was your overall experience?"
3,American Water,American Water,,4. American Water has many different departments and growth opportunities. Where would you like to see your career go with us in the next couple of years?
4,American Water,American Water,,5. Why do you want to work for American Water?
5,American Water,American Water,,"6. What are your greatest strengths? How will these skills benefit American Water, if hired?"
6,American Water,American Water,,"7. At American Water we believe in continued education opportunities. What course or workshop would you take, if given the opportunity?"
7,American Water,American Water,,8. Why do you want to pursue a career opportunity in the utilities industry?
8,American Water,American Water,,9. Tell me about the most important skill you have gained in the past year. How will that skill help you succeed in this role with American Water?
9,American Water,American Water,,"10. If we hire you at American Water, how will you make an impact in the first 90 days?"
10,American Water,American Water,,11. Sometimes our customers do not understand their bill and they will reach us with questions. Tell me about your communication skills and how you would respond to an irate customer.
11,American Water,American Water,,12. Give me an example of a time when you went above and beyond.
12,American Water,American Water,,13. Have you progressed in your career as you have expected?
13,American Water,American Water,,14. Describe your leadership skills.
14,American Water,American Water,,15. Would you be willing to work over 40 hours a week?
15,American Water,American Water,,16. Would you say you are a better verbal or written communicator?
16,American Water,American Water,,17. It seems that your resume is missing certain skills that are necessary for this position. How do you plan to compensate for these missing skills?
17,American Water,American Water,,18. How do you manage a large workload?
18,American Water,American Water,,19. How do you determine priorities when you have multiple projects due?
19,American Water,American Water,,20. How do you handle stress?
20,American Water,American Water,,21. Do you have experience in corrective discipline and terminations?
21,American Water,American Water,,"22. On a scale from 1 to 10, how honest are you?"
22,American Water,American Water,,23. How can we motivate you on the job?
23,American Water,American Water,,24. How do you respond to feedback?
24,American Water,American Water,,25. When do you best demonstrate yourself as a leader?
25,American Water,American Water,,26. Do you have reliable transportation?
26,American Water,American Water,,27. Tell me about yourself.
27,American Water,American Water,,28. What are your salary expectations?
28,American Water,American Water,,29. What would you do if a client asked you about a product or service and you were unsure of the answer?
29,American Water,American Water,,30. What questions do you have for me?
30,K&L Gates,K&L Gates,,1. Who is your hero/heroine?
31,K&L Gates,K&L Gates,,2. What in particular about our firm here at K&L Gates interests you both personally and professionally?
32,K&L Gates,K&L Gates,,3. Talk about a creative way that you helped ease the tax burden for a business during your career.  How did you help put this process into place?
33,K&L Gates,K&L Gates,,4. What drew you to an interest in pursuing a career in real estate law?  What excites you each day to be successful in this area?
34,K&L Gates,K&L Gates,,5. Talk about a recent time on the job you were working under pressure or stress.  How did you cope with that situation and ensure everything was handled smoothly?
35,K&L Gates,K&L Gates,,"6. If hired here at K&L Gates, how would you best build trusting relationships with our clients?"
36,K&L Gates,K&L Gates,,7. What do you consider to be the most difficult case or project you have worked on during your career?
37,K&L Gates,K&L Gates,,8. Talk about the most difficult work situation you have found yourself in and explain how you used sound judgement to find a great outcome?
38,K&L Gates,K&L Gates,,"9. When we look for diligent and effective people to join our real estate law team here at K&L Gates, the ability to effectively research legal options and write contracts are vital to our success as a firm.  Talk about your ability to excel in these areas."
39,K&L Gates,K&L Gates,,"10. To ensure that our clients here at K&L Gates are served in the best way possible, our staff must ensure that they are up to speed on all state and federal laws.  How do you stay in touch with changes to local, state and federal tax laws?"
40,K&L Gates,K&L Gates,,11. What do you feel is the most important skill that you possess that makes you effective in the litigation/arbitration process?
41,K&L Gates,K&L Gates,,12. Some of our business here at K&L Gates is representing companies in collective bargaining agreements.  What experience in the collective bargaining process would you bring to the team here?
42,K&L Gates,K&L Gates,,13. Where do you feel you could use some improvement in the litigation/arbitration process at this point in your career?
43,K&L Gates,K&L Gates,,14. One common legal aspect that we work closely on with clients here at K&L Gates is zoning for large scale construction and/or purchases.  What experience do you have in working with local zoning laws?
44,K&L Gates,K&L Gates,,15. Have you been involved in a corporate tax audit before?  What did you learn from that experience?
45,K&L Gates,K&L Gates,,16. Employment law often involves deep human emotion when bonds are supposedly broken between employee and employer.  How do you separate your personal feelings and emotions when involved with a case?
46,K&L Gates,K&L Gates,,17. Do you have any experience in working with tenancy and leasing laws?
47,K&L Gates,K&L Gates,,18. Do you have any particular areas of wage and hour laws that particularly interest you?
48,K&L Gates,K&L Gates,,"19. With our diverse range of clients here at K&L Gates, are there any specific areas of intellectual property law that interest you the most?"
49,K&L Gates,K&L Gates,,20. What are your interests and hobbies outside of work?
50,K&L Gates,K&L Gates,,21. What was your motivation for pursuing a career in the field of law/legal services?
51,K&L Gates,K&L Gates,,22. Talk about a time that you had to think on your feet on the job.  What was the situation and what was your thought process for acting quickly?
52,K&L Gates,K&L Gates,,"23. At K&L Gates, employee satisfaction is very important.  To ensure that you would be happy here, what brings you satisfaction in your day to day work?"
53,K&L Gates,K&L Gates,,24. What do you feel are the key qualities that a great attorney should have?
54,K&L Gates,K&L Gates,,25. Working with clients here at K&L Gates entails the need for strong finance and accounting principles.  Why is this important and what will you bring to the team here in this realm if hired?
55,K&L Gates,K&L Gates,,26. What are some of the key components that you would advise clients here at K&L Gates to include in their employee handbook?
56,K&L Gates,K&L Gates,,27. Talk about a time your ethics were challenged on the job.  How do you react to those situations in the legal profession?
57,Guidehouse,Guidehouse,,1. How would you explain the management consulting industry to someone who is unfamiliar?
58,Guidehouse,Guidehouse,,2. Who are our clients at Guidehouse?
59,Guidehouse,Guidehouse,,"3. As a management consultant, who is your ideal client?"
60,Guidehouse,Guidehouse,,4. At Guidehouse we use leading-edge technology. Which management tools have you used in your career?
61,Guidehouse,Guidehouse,,"5. In your opinion, why do companies need consultants?"
62,Guidehouse,Guidehouse,,"6. How do you keep up to date on the changes in our industry, from regulations to tech?"
63,Guidehouse,Guidehouse,,"7. In consulting, much of your growth will come from feedback on client projects. How do you accept and implement feedback?"
64,Guidehouse,Guidehouse,,"8. Who are the biggest competitors of Guidehouse, and how do we stand out from the rest?"
65,Guidehouse,Guidehouse,,9. Our best consultants continually grow and learn. What have you done to expand your knowledge in the past three months?
66,Guidehouse,Guidehouse,,10. How would you make Guidehouse more profitable?
67,Guidehouse,Guidehouse,,11. How do you exercise logic?
68,Guidehouse,Guidehouse,,"12. How do you learn the company culture of a new client, when taking on their project?"
69,Guidehouse,Guidehouse,,"13. How do you manage the lifecycle of your projects, ensuring on-time deliverables, and deadlines?"
70,Guidehouse,Guidehouse,,14. What steps do you take when researching a new market or industry?
71,Guidehouse,Guidehouse,,15. How do you react when your team misses a deadline?
72,Guidehouse,Guidehouse,,"16. In your opinion, what makes you a great problem solver?"
73,Guidehouse,Guidehouse,,17. How do you prioritize multiple projects when they all seem equally important?
74,Guidehouse,Guidehouse,,18. What do you believe is the most important service we offer at Guidehouse?
75,Guidehouse,Guidehouse,,19. Have you ever supervised or trained junior consultants?
76,Guidehouse,Guidehouse,,20. Guidehouse works with clients across many industries. Which of our clients' industries interests you the most?
77,Guidehouse,Guidehouse,,21. What do you think makes a good management consultant?
78,Guidehouse,Guidehouse,,22. What will be the greatest challenges faced in this job?  How will you overcome these challenges?
79,Guidehouse,Guidehouse,,23. What have you done in the last few months to strengthen your professional network?
80,Guidehouse,Guidehouse,,24. What do you believe are the most critical KPIs for a management consulting firm to consider?
81,Guidehouse,Guidehouse,,25. What is the most challenging client issue you have faced this year? How did you overcome the situation?
82,Guidehouse,Guidehouse,,26. Do you consider yourself a persuasive person?
83,Guidehouse,Guidehouse,,"27. What are the components of a successful, and effective, presentation?"
84,Guidehouse,Guidehouse,,28. How does a career in management consulting fulfill and satisfy you?
85,Guidehouse,Guidehouse,,29. How can Guidehouse motivate you?
86,Guidehouse,Guidehouse,,30. Tell me about a time that you had to collaborate with a colleague with whom you did not see eye-to-eye. How did you ensure that you got along well enough to make it a success?
87,Scholastic,Scholastic,,1. What is the difference between a publisher's frontlist and backlist?
88,Scholastic,Scholastic,,2. Is compensation the most important factor for you when taking a new job?
89,Scholastic,Scholastic,,3. How do you like to encourage ideas in others?
90,Scholastic,Scholastic,,4. How has your current job changed over the years?
91,Scholastic,Scholastic,,5. What type of work environment allows you to be the most productive?
92,Scholastic,Scholastic,,"6. When entering a new job, describe how you build relationships with your new coworkers and supervisors."
93,Scholastic,Scholastic,,7. What are your strengths?
94,Scholastic,Scholastic,,8. Where do you see your career one year from now?
95,Scholastic,Scholastic,,9. Tell me about a time that you failed. How did you get back up again?
96,Scholastic,Scholastic,,10. When have you been asked to perform a function or complete a task in which you had little or no experience in doing?
97,Scholastic,Scholastic,,11. What is the most significant achievement you have on the horizon?
98,Scholastic,Scholastic,,"12. The publishing industry has many tight deadlines. How do you manage your time, ensuring that your deadlines are met?"
99,Scholastic,Scholastic,,13. What is the key to success for a publisher in this digital era?
100,Scholastic,Scholastic,,"14. If you could pitch me one idea for a book, article, or editorial, what would it be?"
101,Scholastic,Scholastic,,15. With which publishing categories are you most familiar? How will this knowledge help you in this position with Scholastic?
102,Scholastic,Scholastic,,16. Walk me through your editing experience. How would you rate your editing skills from 1-10?
103,Scholastic,Scholastic,,17.  How do you transition between the creative and analytical sides of publishing?
104,Scholastic,Scholastic,,18. What are the benefits for an author to publish with Scholastic versus self-publishing?
105,Scholastic,Scholastic,,19. How would you increase magazine subscriptions and physical book orders in an online-centric world?
106,Scholastic,Scholastic,,20. What drew you to our publication?
107,Scholastic,Scholastic,,21. Describe to me the types of digital media you are most experienced with.
108,Scholastic,Scholastic,,22. What has been the best short-form content project you have worked on this year?
109,Scholastic,Scholastic,,"23. If Scholastic hired you today, what would you accomplish first?"
110,Scholastic,Scholastic,,"24. In which area are you the strongest: editorial, book sales, or book marketing?"
111,Scholastic,Scholastic,,"25. Tell me about your experience collaborating with marketing, sales, editorial, and design teams."
112,Scholastic,Scholastic,,26. What do you expect to be the most significant trend in publishing this year?
113,Scholastic,Scholastic,,"27. Who is your favorite author, and why?"
114,Scholastic,Scholastic,,"28. Name for me your three favorite books, and why they are your favorite."
115,Scholastic,Scholastic,,29. Where do you believe the magazine industry will be in 5 years? Support your response.
116,Scholastic,Scholastic,,"30. In your opinion, what is the difference between marketing and advertising?"
117,Harbor Freight Tools,Harbor Freight Tools,,"1. This position requires a flexible schedule as we are open evenings, weekends, and most holidays. Are you able to commit to these hours?"
118,Harbor Freight Tools,Harbor Freight Tools,,2. Harbor Freight Tools puts customer service first. How do you ensure that you always put the customers' needs first?
119,Harbor Freight Tools,Harbor Freight Tools,,3. What do you know about Harbor Freight Tools? Why do you want to work for us?
120,Harbor Freight Tools,Harbor Freight Tools,,4. At Harbor Freight Tools we have a very clear return policy. How would you handle a customer who was arguing with you about a potential return?
121,Harbor Freight Tools,Harbor Freight Tools,,5. We have a strong employee honesty program in place at Harbor Freight Tools to prevent loss. What would you do if you discovered that a co-worker was stealing product or money?
122,Harbor Freight Tools,Harbor Freight Tools,,6. In this role you will be required to handle customer transactions. On a scale of 1-10 how strong are your mathematical skills?
123,Harbor Freight Tools,Harbor Freight Tools,,7. This position requires you to wear a uniform to work. Have you worn a uniform in the workplace before? How do you feel about this?
124,Harbor Freight Tools,Harbor Freight Tools,,"8. In our retail stores we take pride in our merchandising and displays. Do you consider yourself to be a creative person, capable of making an attractive retail display?"
125,Harbor Freight Tools,Harbor Freight Tools,,9. At Harbor Freight Tools we firmly believe in grooming our employees into management roles as they show potential. Are you interested in potential leadership roles with us?
126,Harbor Freight Tools,Harbor Freight Tools,,10. Tell me 3 qualities you possess that make you a strong fit for this position with Harbor Freight Tools.
127,Harbor Freight Tools,Harbor Freight Tools,,"11. Working in a retail environment, you will sometimes come across rude customers. How would you handle a customer who is aggressive towards you or a co-worker?"
128,Harbor Freight Tools,Harbor Freight Tools,,"12. In a retail environment, staff turnover is often high. How would you handle it if your co-worker did not show up for their shift?"
129,Harbor Freight Tools,Harbor Freight Tools,,13. You will be responsible for a large amount of cash and valuable merchandise at Harbor Freight Tools. What would your most recent employer say about your character and honesty?
130,Harbor Freight Tools,Harbor Freight Tools,,14. Have you researched our company values? What makes you the best candidate for Harbor Freight Tools?
131,Harbor Freight Tools,Harbor Freight Tools,,"15. Take me through your experience in retail. What was the most challenging position you have held? Which was your favorite, and why?"
132,Harbor Freight Tools,Harbor Freight Tools,,16. At Harbor Freight Tools we like to hire strong achievers. Give me an example of a time when you went above and beyond.
133,Harbor Freight Tools,Harbor Freight Tools,,17. How do you like to be recognized for your accomplishments?
134,Harbor Freight Tools,Harbor Freight Tools,,18. Tell me about a time when you made a suggestion requesting change in an organization.
135,Harbor Freight Tools,Harbor Freight Tools,,19. What is the most competitive work situation you have experienced? How did you handle it? What was the result?
136,Harbor Freight Tools,Harbor Freight Tools,,20. Why is this job with Harbor Freight Tools right for you at this time in your career?
137,Harbor Freight Tools,Harbor Freight Tools,,21. What type of manager brings out the best in you?
138,Harbor Freight Tools,Harbor Freight Tools,,22. How do you handle a situation where your supervisor does not properly communicate information to you?
139,Harbor Freight Tools,Harbor Freight Tools,,23. Personality fit is important to us at Harbor Freight Tools. How would you describe your personality?
140,Harbor Freight Tools,Harbor Freight Tools,,24. What type of work environment do you dislike working in?
141,Harbor Freight Tools,Harbor Freight Tools,,25. We need reliable people on our team at Harbor Freight Tools. How many days were you absent from work last year?
142,Harbor Freight Tools,Harbor Freight Tools,,26. Describe to me your ideal employer.
143,Harbor Freight Tools,Harbor Freight Tools,,27. How can Harbor Freight Tools motivate you on the job?
144,Harbor Freight Tools,Harbor Freight Tools,,28. What are your salary expectations?
145,Harbor Freight Tools,Harbor Freight Tools,,29. How do you feel about performance incentives?
146,Harbor Freight Tools,Harbor Freight Tools,,30. What do you hope to learn from this job at Harbor Freight Tools?
147,Harbor Freight Tools,Harbor Freight Tools,,31. Do you have reliable transportation?
148,Harbor Freight Tools,Harbor Freight Tools,,32. How do you handle situations that could cause you to be late or miss work?
149,U.S. Bank,U.S. Bank,,1. What are your top three strengths? How will you use them to make an impact at U.S. Bank?
150,U.S. Bank,U.S. Bank,,2. How would you respond to a customer complaint?
151,U.S. Bank,U.S. Bank,,"3. If a client here at U.S. Bank were to be denied the financing that they desire, how would you handle that situation?"
152,U.S. Bank,U.S. Bank,,4. What is the highest level of mathematics that you completed during any of your schooling?
153,U.S. Bank,U.S. Bank,,5. What is one unique skill that you will bring to our loan processing team here at U.S. Bank?
154,U.S. Bank,U.S. Bank,,6. What experience do you have in multitasking different duties in any of your prior work experiences?
155,U.S. Bank,U.S. Bank,,7. What ideas could you bring to U.S. Bank to help grow revenue in this branch?
156,U.S. Bank,U.S. Bank,,"8. If hired for this role here at U.S. Bank,  how would you manage your daily tasks on the job to ensure that your work is completed in a timely and efficient manner?"
157,U.S. Bank,U.S. Bank,,9. The banking industry can be stressful. Tell me about a time when you worked in a high-pressure situation.
158,U.S. Bank,U.S. Bank,,"10. In your opinion, what are the benefits of banking with U.S. Bank?"
159,U.S. Bank,U.S. Bank,,11. Walk me through your thought process when delegating responsibilities to others that you are responsible for.  What are the important factors that influence your decisions?
160,U.S. Bank,U.S. Bank,,12. We pride ourselves on teamwork here at U.S. Bank and this role in Client Services relies on teamwork.  What are the top qualities you would bring to a team based atmosphere here?
161,U.S. Bank,U.S. Bank,,13. What has been the most stressful situation that you faced in the workplace and what did you do to ensure that you navigated that situation successfully?
162,U.S. Bank,U.S. Bank,,14. What is your experience in managing an overall performance appraisal process for your staff?
163,U.S. Bank,U.S. Bank,,15. How would you handle communication with a customer that was visibly upset?
164,U.S. Bank,U.S. Bank,,16. How do you work in environments with people who are different from you?
165,U.S. Bank,U.S. Bank,,17. Our clients here at U.S. Bank expect top-tier service and products and we will expect you to do just that in this role.  Have you ever went the extra mile for a client when it wasn't expected?  Why did you do so?
166,U.S. Bank,U.S. Bank,,18. Have  you ever had to work with a difficult colleague?  How did you handle that situation?
167,U.S. Bank,U.S. Bank,,19. How would you rate your ability to learn new software programs on a scale of 1 to 10?
168,U.S. Bank,U.S. Bank,,20. What customer service experience do you have that would greatly benefit the customers at U.S. Bank?
169,U.S. Bank,U.S. Bank,,"21. If you were having an interaction with a client here at U.S. Bank and you weren't able to answer their question or solve their problem on your own, how would you handle that situation?"
170,U.S. Bank,U.S. Bank,,22. Tell me about your cash handling experience.
171,U.S. Bank,U.S. Bank,,23. The banking industry is built on trust and this is no different at U.S. Bank.  Do other people you have worked closely with consider you to be trustworthy?
172,U.S. Bank,U.S. Bank,,"24. Out of all of our products at U.S. Bank, which one would you be most likely to use? Why?"
173,U.S. Bank,U.S. Bank,,25. Tell me about a goal you achieved. What steps did you take to get there?
174,U.S. Bank,U.S. Bank,,"26. Due to the continued explosion of the digital world, U.S. Bank is becoming more virtual on a day to day basis.  What job duties would you see as being fluent in this role as a Teller with us?"
175,U.S. Bank,U.S. Bank,,"27. To get to know what type of leader we'd be hiring at this branch of U.S. Bank, how would you describe your management style?"
176,UC Health,UC Health,,1. UC Health has a diverse workforce. When have you worked amongst a diverse group of people?
177,UC Health,UC Health,,"2. UC Health was initially looking for someone with 5  years' experience in a similar role. Considering you have just 2 years' experience, would you be willing to accept this position at a lower salary?"
178,UC Health,UC Health,,"3. Do you think it is possible to be a good team member, yet disagree with the leader?"
179,UC Health,UC Health,,4. Why do you think you will be successful in this role with UC Health?
180,UC Health,UC Health,,5. What is your greatest weakness?
181,UC Health,UC Health,,6. Rate your problem solving skills from 1-10. How do you justify your rating?
182,UC Health,UC Health,,7. UC Health is a strong believer in innovation in the healthcare industry and we put a lot of resources into innovation.  Why is this important to you?
183,UC Health,UC Health,,8. What type of work environment do you dislike working in?
184,UC Health,UC Health,,"9. With the ongoing changes in the healthcare services industry, how do you keep your knowledge current?"
185,UC Health,UC Health,,10. What distinguishes UC Health as a great employer to work for in your mind?
186,UC Health,UC Health,,"11. If UC Health hired you today, what would you accomplish first?"
187,UC Health,UC Health,,"12. If you could expand your knowledge and expertise in any healthcare service area, which would you choose?"
188,UC Health,UC Health,,13. What part of your healthcare career brings you the most stress?
189,UC Health,UC Health,,14. Tell me about yourself.
190,UC Health,UC Health,,15. UC Health supports a healthy work/life balance for all employees. How do you balance life and work?
191,UC Health,UC Health,,"16. At UC Health, we measure success based on patient outcomes and satisfaction.  Why is this important to you in your job?"
192,UC Health,UC Health,,17. Patient care requires a strong amount of compassion. Do you consider yourself a compassionate person?
193,UC Health,UC Health,,18. Can you talk about a time you witnessed a colleague bending or breaking the rules or policies in the workplace?  What did you do in that situation?
194,UC Health,UC Health,,19. When have you shown a willingness to learn a new method or new approach to solving a problem?
195,UC Health,UC Health,,20. UC Health seeks to hire those with strong problem solving skills. When were you able to successfully resolve a problem in the workplace?
196,UC Health,UC Health,,21. At UC Health we seek to hire individuals who have ambitions of growing their career. Where do you see yourself in 3-5 years?
197,UC Health,UC Health,,"22. Have you ever been involved in ordering medical supplies, maintaining inventory, or other types of health care related administrative duties?"
198,UC Health,UC Health,,"23. Here at UC Health, one of our core values is prioritizing the needs of the patient first.  Talk about a specific time you put the needs of a patient first when you had a full plate of other tasks to complete."
199,UC Health,UC Health,,"24. If you could expand your knowledge and expertise in any area of healthcare services, which would you choose?"
200,UC Health,UC Health,,"25. Healthcare service companies require strong organizational skills and attention to detail. How do you ensure that your work is properly organized, and highly accurate?"
201,UC Health,UC Health,,"26. In order to work for UC Health, you must be able to pass a full criminal background check. Do you consent to a full background check?"
202,UC Health,UC Health,,27. What is your patient care philosophy?
203,UC Health,UC Health,,"28. At UC Health we take pride in our great relationships with clients, vendors, coworkers, and patients. Do you consider yourself to be a strong relationship builder?"
204,UC Health,UC Health,,"29. At UC Health, part of our mission is to improve lives through personal human connections.  Talk about a time you made a personal connection with a patient or colleague that led to positive results.  How did you go about building that connection?"
205,UC Health,UC Health,,30. In the healthcare services industry there are many emotions in a day. Have your emotions ever been in the way of your productivity?
206,UC Health,UC Health,,31. At UC Health we seek to hire individuals who display a keen interest in the healthcare arena. Would you consider yourself dedicated to a career in healthcare services?
207,Kohler Co.,Kohler Co.,,1. At Kohler we do what we can to take environmentally friendly actions. Are you familiar with the U.S Green Building Council and their purpose?
